user_id,session_count,any_booking_rate,any_booking_sum,flight_booking_rate,hotel_booking_rate,bundle_booking_rate,cancellation_rate,cancellation_sum,browse_only_rate,completed_booking_rate,flight_discount_rate,hotel_discount_rate,avg_flight_discount_amt,avg_hotel_discount_amt,avg_base_fare_usd,avg_hotel_per_room_usd,avg_discount_savings_pct,avg_total_discount_dollars,return_flight_rate,avg_trip_duration_days,avg_seats,avg_rooms,avg_checked_bags,avg_nights,solo_rate,international_rate,avg_page_clicks,sum_page_clicks,avg_session_duration_min,avg_lead_time_days,avg_session_spend,total_spend,completed_flight_count,completed_hotel_count,avg_flight_discount_completed,avg_hotel_discount_completed,avg_fare_completed,avg_hotel_rate_completed,avg_nights_completed,distinct_airlines,gender,married,has_children,home_country,home_city,home_airport,home_airport_lat,home_airport_lon,user_age,tenure_days,recency_days,is_bundle_dominant,engagement_score,engagement_q,discount_q,flyer_type,final_segment,final_segment_description,final_segment_headline_perks
23557,8,0.25,2,0.0,0.25,0.0,0.0,0,0.75,0.25,0.0,0.25,0.0,0.04375,,177.0,0.125,16.4375,,,,1.5,,10.0,0.5,,10.25,82,1.2770833333333333,,1901.0,3802.0,0,2,,0.175,,177.0,10.0,0,f,True,False,usa,new york,lga,40.777,-73.872,64.63791923340177,737,14,False,13.090104166666666,Q1 (low),Q1 (low),No flights booked,4,International long-stay hotel users,Bundle free-night to win the flight leg + long-stay rewards
94883,8,0.25,2,0.25,0.25,0.25,0.0,0,0.75,0.25,0.0,0.125,0.0,0.0125,432.04499999999996,90.0,0.0,0.0,1.0,1.5,1.5,1.5,0.5,1.0,0.5,0.5,9.125,73,1.1291666666666667,7.153819444444444,547.045,1094.09,2,2,,0.1,432.04499999999996,90.0,1.0,2,f,True,False,usa,kansas city,mci,39.297,-94.714,51.36755646817249,537,61,False,10.303645833333333,Q1 (low),Q1 (low),International (>50%),0,Engaged mainstream bookers,Loyalty/points programme + bundle free-night + free checked bag
101486,8,0.25,2,0.125,0.25,0.125,0.0,0,0.75,0.25,0.25,0.0,0.018750000000000003,0.0,189.91,198.5,0.0,0.0,1.0,4.0,1.0,1.5,0.0,4.5,0.5,1.0,16.375,131,2.0375,9.041666666666666,1320.955,2641.91,1,2,0.07500000000000001,,189.91,198.5,4.5,1,f,True,True,usa,tacoma,tcm,47.138,-122.476,50.639288158795345,527,10,False,33.3640625,Q3,Q3,International (>50%),1,Light / occasional mainstream bookers,Time-limited comeback discount + low-cost sweetener (meal/bag)
101961,8,0.625,5,0.625,0.625,0.625,0.0,0,0.375,0.625,0.25,0.125,0.037500000000000006,0.0125,248.532,136.0,0.0013998055434215906,0.6208750000000001,1.0,4.8,1.0,1.0,0.4,4.4,1.0,0.4,15.75,126,1.9625000000000001,6.259166666666667,808.132,4040.66,5,5,0.15000000000000002,0.1,248.532,136.0,4.4,5,f,True,False,usa,boston,bos,42.364,-71.005,42.86926762491444,527,36,True,30.909375,Q3,Q3,Domestic,0,Engaged mainstream bookers,Loyalty/points programme + bundle free-night + free checked bag
106907,8,0.25,2,0.25,0.25,0.25,0.125,1,0.75,0.125,0.125,0.125,0.0125,0.0125,13902.06,129.0,0.05000000000000001,226.98825000000002,1.0,13.0,6.0,3.0,5.0,11.0,0.0,1.0,30.0,240,12.648584435416666,198.72055555555556,18159.059999999998,36318.119999999995,1,1,,,13902.06,129.0,11.0,1,f,True,True,usa,miami,tnt,25.862,-80.897,44.695414099931554,520,1,False,379.4575330625,Q4 (high),Q2,International (>50%),2,Premium far-advance planners,No cancellation fees / free changes + premium service
118043,8,0.625,5,0.375,0.5,0.25,0.0,0,0.375,0.625,0.25,0.375,0.05,0.04375,779.7633333333333,227.25,0.06,24.31875,1.0,4.666666666666667,2.0,1.25,1.0,6.0,0.6,0.0,20.5,164,2.5520833333333335,9.378240740740742,1795.458,8977.29,3,4,0.2,0.11666666666666665,779.7633333333333,227.25,6.0,3,f,False,True,usa,los angeles,lax,33.942,-118.408,51.233401779603014,506,13,False,52.317708333333336,Q4 (high),Q3,Domestic,0,Engaged mainstream bookers,Loyalty/points programme + bundle free-night + free checked bag
120851,8,0.125,1,0.125,0.125,0.125,0.0,0,0.875,0.125,0.25,0.0,0.056249999999999994,0.0,384.68,182.0,0.0,0.0,1.0,12.0,1.0,1.0,0.0,11.0,1.0,1.0,6.875,55,0.8625,7.502777777777778,2386.68,2386.68,1,1,0.22499999999999998,,384.68,182.0,11.0,1,f,True,True,usa,santa ana,sna,33.676,-117.868,50.83915126625599,503,46,False,5.9296875,Q1 (low),Q3,International (>50%),1,Light / occasional mainstream bookers,Time-limited comeback discount + low-cost sweetener (meal/bag)
125845,9,0.3333333333333333,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0,0.6666666666666666,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.016666666666666666,0.005555555555555556,584.4399999999999,123.66666666666667,0.03222028701536675,11.839666666666666,1.0,3.3333333333333335,1.3333333333333333,1.3333333333333333,0.6666666666666666,2.3333333333333335,0.6666666666666666,0.3333333333333333,17.666666666666668,159,2.196296296296296,9.089583333333334,872.44,2617.32,3,3,0.15,0.05,584.4399999999999,123.66666666666667,2.3333333333333335,3,f,True,False,usa,el paso,bif,31.849,-106.38,39.657768651608485,497,8,False,38.80123456790123,Q3,Q1 (low),Domestic,0,Engaged mainstream bookers,Loyalty/points programme + bundle free-night + free checked bag
133058,4,0.0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.25,0.0,0.0125,,,,0.0,,,,,,,,,7.0,28,0.8791666666666667,,,0.0,0,0,,0.05,,,,0,f,False,False,usa,austin,aus,30.194,-97.67,18.308008213552363,489,12,False,6.154166666666667,Q1 (low),Q1 (low),No flights booked,3,Browse-only non-bookers,Bold time-limited first-booking offer + risk removal
149058,8,0.625,5,0.625,0.625,0.625,0.0,0,0.375,0.625,0.125,0.0,0.00625,0.0,385.732,168.6,0.0031835268565700453,1.1909375000000002,1.0,6.6,1.2,1.2,0.4,6.0,0.8,0.2,17.75,142,2.1958333333333333,6.507916666666667,1640.532,8202.66,5,5,0.05,,385.732,168.6,6.0,5,f,False,True,usa,birmingham,bhm,33.563,-86.753,50.51334702258727,471,39,True,38.97604166666667,Q3,Q2,Domestic,0,Engaged mainstream bookers,Loyalty/points programme + bundle free-night + free checked bag
152583,8,0.125,1,0.125,0.125,0.125,0.0,0,0.875,0.125,0.125,0.125,0.01875,0.01875,367.83,213.0,0.0,0.0,1.0,5.0,1.0,1.0,2.0,3.0,1.0,1.0,18.625,149,2.316666666666667,8.684722222222222,1006.8299999999999,1006.8299999999999,1,1,0.15,0.15,367.83,213.0,3.0,1,f,False,False,usa,colorado springs,cos,38.806,-104.7,37.007529089664615,468,53,False,43.14791666666667,Q3,Q2,International (>50%),1,Light / occasional mainstream bookers,Time-limited comeback discount + low-cost sweetener (meal/bag)
